Djarindjin,-16.519907689999968 122.9035895080001
DoubleTree by Hilton Hotel,-23.714967607999938 133.87945391000005
Dry Creek,-34.847462999999948 138.58175800000004
EarthPower Biomass Plant,-33.820372999999961 151.04203700000005
Eastern Creek 2,-33.812514999999962 150.86168300000008
Eastern Creek,-33.814156999999966 150.85370200000011
Eildon Small Hydro,-37.243071760999953 145.89740990000007
Eildon,-37.222004999999967 145.92145200000004
Emu Downs Wind Farm,-30.488061999999957 115.33700500000009
Energy Brix,-38.254559999999969 146.41372200000012
Eraring,-33.061748752999961 151.52233006800009
Eraring,-33.062074923999944 151.52064791500004
Ernabella,-26.277960621999966 132.13137099700009
Erskine Park,-33.818206588999942 150.80322730700004
Esperance Wind Farm Nine Mile Beach,-33.892709999999965 121.77778000000001
Esperance Wind Farm Ten Mile Lagoon,-33.880169062999983 121.76903887500009
Esperance,-33.876199999999983 121.89980000000003
Exmouth Advanced Mini Wind Farm,-21.812631499999952 114.1335056480001
Exmouth,-21.946457949999967 114.12499812400006
Fisher,-41.673239999999964 146.26851800000009
Fitzroy Crossing,-18.195575047999967 125.55971118500008
Fraser Coast Community Solar Farm,-25.318398602999935 152.79016832200011
Gadara,-35.295932999999934 148.13705200000004
Gascoyne Junction,-25.055693757999961 115.20828921500004
Geraldton,-28.770106999999939 114.64848200000006
German Creek,-22.928146999999967 148.55149700000004
Gladstone,-23.850752999999941 151.21865300000002
Glenbawn,-32.10966099999996 150.99815400000011
Glennies Creek,-32.459842999999978 151.12862700000005
Glenorchy,-42.84146316999994 147.25504660000001
Gordon,-42.73864199999997 145.98116500000003
Gosnells,-32.022750963999954 116.01287154800002
Grange Avenue,-33.702937999999961 150.83123300000011
Grasmere Wind Farm (Albany stage II),-35.050650515999962 117.76376090400004
Greenough River Solar Farm,-28.904318061999959 115.11193748500011
Gunning,-34.695830899999976 149.38317521100009
Guthega,-36.350097999999946 148.41352800000004
Hallam Road,-38.053342999999984 145.26985600000012
Hallett 1 Brown Hill  Wind Farm,-33.339733578999983 138.73233165800002
Hallett 1 Brown Hill  Wind Farm,-33.394960203999972 138.7299433710001
Hallett 2 Hallet Hill  Wind Farm,-33.522602434999953 138.85515976300007
Hallett 2 Hallet Hill  Wind Farm,-33.57166811999997 138.85795056000006
Hallett 4 North Brown Hill  Wind Farm,-33.309259941999983 138.72959554200008
Hallett 5 The Bluff  Wind Farm,-33.385546259999956 138.79283152200003
Hallett,-33.348651999999959 138.75165900000002
Halls Creek,-18.232751479999934 127.66189702200006
Hazelwood,-38.273102999999935 146.39226300000007
Henderson,-32.165021018999937 115.80080012300004
Hermannsburg,-23.937364578999961 132.77192821900007
Highbury,-34.849029022999957 138.72028357300007
Hobart,-42.88825951299998 147.28882975800002
Hopetoun Diesel Backup,-33.905048922999981 120.12993402100005
Hopetoun Wind Turbines,-33.90776359299997 120.12968118400011
Hume,-36.106618999999966 147.03262200000006
Hunter Valley,-32.38925299999994 150.96639600000003
Hunter,-32.83602099999996 151.45047100000011
Inkerman Sugar Mill,-19.642154999999946 147.40159100000005
Invicta Sugar Mill,-19.516696999999965 147.10652600000003
Isis Central Sugar Mill,-25.193985999999938 152.20855600000004
Jacks Gully,-34.073439999999948 150.74268900000004
Jeeralang A,-38.275324999999953 146.42629600000009
Jeeralang B,-38.274625999999955 146.42492300000004
Jindabyne Dam Mini Hydro,-36.435149999999965 148.63325000000009
John Butters,-42.154834999999935 145.53447700000004
Jounama,-35.56196499999993 148.30551700000001
Jundee Gold Mine,-26.371211999999957 120.57761300000004
KRC Cogeneration Plant,-27.445266808999975 153.11846693600012
Kalamia Sugar Mill,-19.522338999999931 147.41523700000005
Kalamunda,-31.976778615999933 115.99879332700004
Kalbarri PV System,-27.715246946999969 114.16969177900012
Kalbarri Wind Farm,-27.899498532999928 114.19455166500006
Kalgoorlie (Parkeston),-30.737809999999968 121.50654300000008
Kalgoorlie Nickel Smelter,-30.87366899999995 121.48418800000002
Kalumburu,-14.293855534999977 126.64395522900008
Kambalda,-31.191934793999962 121.67408425000008
Kangaroo Valley (Shoalhaven Scheme),-34.722969999999975 150.47953000000007
Kareeya,-17.767001999999934 145.57786500000009
Karratha,-20.762566999999933 116.83747300000005
Katherine,-14.458692999999926 132.24450600000011
Kemerton,-33.163249999999948 115.78054000000009
King Island (Currie),-39.938785223999957 143.89196459300001
Kings Canyon,-24.250919587999931 131.50064981900005
Kogan Creek,-26.917683332999957 150.74928333300011
Kogarah Town Square Solar Array,-33.965174529999956 151.1331504310001
Koombooloomba,-17.831283999999982 145.60336200000006
Kooragang,-32.877281431999961 151.74776777500006
Kununurra,-15.779556778999961 128.73946199400007
Kwinan,-32.197002636999969 115.77594550400011
Kwinana (Alcoa Refinery),-32.194634999999948 115.77967600000011
Kwinana (NewGen),-32.201979999999935 115.77282100000002
Kwinana A,-32.197952895999947 115.7751616490001
Kwinana C,-32.199229392999939 115.77470218600001
Kwinana Cogeneration,-32.222531999999944 115.76612100000011
Kwinana High Efficiency Gas Turbine Plant,-32.197295434999944 115.77538637200007
Kwinana Swift,-32.224258328999952 115.7782769050001
Ladbroke Grove,-37.456672999999967 140.78269200000011
Lajamanu,-18.32650366699994 130.62948965300006
Lake Bonney Wind Farm,-37.771349881999981 140.39808392700002
Lake Echo,-42.253701999999976 146.62069900000006
Lake Glenmaggie,-37.904744999999934 146.80108500000006
Lake Keepit,-30.87918899999994 150.49139900000011
Lake William Hovell,-36.913176999999962 146.39157200000011
Landfill Management Services Shoal Bay,-12.389173999999969 130.92540800000006
Laverton (Granny Smith Gold Mine),-28.809648999999979 122.41502900000012
Laverton North,-37.841579999999965 144.78871100000003
Laverton,-28.621623663999969 122.39646804400002
Leichhardt,-20.783335197999975 139.48622070400006
Leinster Nickel Mine,-27.814121499999942 120.69899650000002
Lemonthyme,-41.603762999999958 146.13902200000007
Leonards Hill,-37.427135745999976 144.12215301000003
Leonora (Murrin Murrin Nickel Mine),-28.923753999999974 121.32929000000001
Leonora,-28.881076375999953 121.32127466800011
Liapootah,-42.376316999999972 146.50989000000004
Liddell Solar Thermal,-32.376069144999974 150.97966729400002
Liddell,-32.371266999999932 150.97757000000001
Longford,-38.16399999999993 147.0870000000001
Lonsdale,-35.109668553999938 138.49100682100004
Lower Lake Margaret,-42.018883999999957 145.54249800000002
Lower Rubicon,-37.302724590999958 145.84577523000007
Loy Yang A,-38.253599999999949 146.57456900000011
Loy Yang B,-38.25644699999998 146.5863700000001
Lucas Heights I,-34.029301999999973 151.00207200000011
Lucas Heights II,-34.048145999999974 150.97388200000012
Lucas Heights III,-34.048145999999974 150.97388200000012
Macarthur Wind Farm,-38.007526842999937 142.18651013700003
Mackay,-21.144565999999941 149.15909700000009
Mackintosh,-41.699749999999938 145.64611900000011
Macknade Sugar Mill,-18.589042999999947 146.25796100000002
Mandurah,-32.507918269999948 115.75895724000009
Marble Bar Diesel Backup,-21.164922926999964 119.74185150000005
Marble Bar Solar Farm,-21.164344633999974 119.7412000060001
Maryborough,-25.547588004999966 152.7170960950001
Maryvale Mill,-38.180892773999972 146.44794631700006
McArthur River Mine,-16.433498250999946 136.09345945200005
McKay Creek (Mount Beauty Hydro Scheme),-36.858393999999976 147.23454200000003
Meadowbank,-42.611198999999942 146.84567600000003
Meekatharra,-26.595171554999979 118.48302202900004
Melbourne,-37.808596002999934 144.96848012300006
Menzies,-29.690601898999944 121.0251779460001
Merredin,-31.542313845999956 118.22699785900011
Metricon (Gold Coast) Stadium Solar Array,-28.006274122999969 153.36711828600005
Mica Creek,-20.777726239999936 139.49046429100008
Mildura Solar Farm,-34.467089802999965 142.18328669300001
Millmerran,-27.961541999999952 151.27894900000001
Mintaro,-33.903099999999938 138.73830000000009
Monash University (Clayton Campus) Solar Array,-37.911787347999962 145.13299610500007
Moranbah North,-21.896655255999974 147.95065540500002
Moranbah,-21.98513020799993 148.02464716200006
Mornington,-38.391630999999961 144.85532200000011
Mortlake,-38.063169321999965 142.6674789110001
Mount Keith Nickel Mine,-27.214582999999948 120.54797900000005
Mount Magnet,-28.087084337999954 117.83271097700003
Mount Millar Wind Farm,-33.626727999999957 136.70456200000001
Mount Stuart,-19.33799799999997 146.85117100000002
Mt Gambier,-37.83884532999997 140.80569597100009
Mt Piper,-33.358891999999969 150.03132200000005
Mugga Lane,-35.395303999999953 149.14582000000007
Muja A,-33.446671072999948 116.30810859200005
Muja B,-33.446806831999936 116.30871950900007
Muja C,-33.445810999999935 116.30601200000001
Muja D,-33.446159999999963 116.30721300000005
Mulgrave,-17.09316550099993 145.78871140400008
Mumbida Wind Farm,-28.991804877999982 114.95988782900008
Mungarra,-28.889321999999936 115.11793800000009
Mungullah,-24.891051455999957 113.7095328040001
Munmorah,-33.211690999999973 151.5418370000001
Murray 1,-36.246712999999943 148.19009500000004
